query,markup
бантик petmax 2шт,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND'), (14, 17, 'B-VOLUME')]"
губка русалочка 3 шт,"[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND'), (16, 17, 'B-VOLUME'), (18, 20, 'I-VOLUME')]"
квас очаковский 2л,"[(0, 4, 'B-TYPE'), (5, 15, 'B-BRAND'), (16, 18, 'B-VOLUME')]"
ekf наконечник 50шт,"[(0, 3, 'B-BRAND'), (4, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
чокопай орион 6шт,"[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND'), (14, 17, 'B-VOLUME')]"
прокладки белла 10шт,"[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND'), (16, 20, 'B-VOLUME')]"
лаванда 50 г,"[(0, 7, 'B-TYPE'), (8, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME')]"
купаты ма 1кг,"[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND'), (10, 13, 'B-VOLUME')]"
"nestea 1,5л чай","[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME'), (12, 15, 'B-TYPE')]"
кефир коровка из кореновки 1%,"[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND'), (14, 16, 'I-BRAND'), (17, 26, 'I-BRAND'), (27, 29, 'B-PERCENT')]"
сок 200мл сады придонья,"[(0, 3, 'B-TYPE'), (4, 9, 'B-VOLUME'), (10, 14, 'B-BRAND'), (15, 23, 'I-BRAND')]"
торт 600г наш кондитер,"[(0, 4, 'B-TYPE'), (5, 9, 'B-VOLUME'), (10, 13, 'B-BRAND'), (14, 22, 'I-BRAND')]"
"la trattoria пицца 0,335г","[(0, 2, 'B-BRAND'), (3, 12, 'I-BRAND'), (13, 18, 'B-TYPE'), (19, 25, 'B-VOLUME')]"
порошок 3кг персил,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME'), (12, 18, 'B-BRAND')]"
вода 5л шалбуз,"[(0, 4, 'B-TYPE'), (5, 7, 'B-VOLUME'), (8, 14, 'B-BRAND')]"
"компот 0,5л","[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME')]"
"вода новотерская 0,5л","[(0, 4, 'B-TYPE'), (5, 16, 'B-BRAND'), (17, 21, 'B-VOLUME')]"
подгузники merries 14 кг,"[(0, 10, 'B-TYPE'), (11, 18, 'B-BRAND'), (19, 21, 'B-VOLUME'), (22, 24, 'I-VOLUME')]"
наклейки 5шт,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME')]"
капуста 1кг,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
бобс леденец 35 г,"[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE'), (13, 15, 'B-VOLUME'), (16, 17, 'I-VOLUME')]"
печенье 1кг,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
канатик 100%,"[(0, 7, 'B-TYPE'), (8, 12, 'B-PERCENT')]"
краска 60 мл estel,"[(0, 6, 'B-TYPE'), (7, 9, 'B-VOLUME'), (10, 12, 'I-VOLUME'), (13, 18, 'B-BRAND')]"
махеевъ 100 г горчица,"[(0, 7, 'B-BRAND'), (8, 11, 'B-VOLUME'), (12, 13, 'I-VOLUME'), (14, 21, 'B-TYPE')]"
"рулет 0,202 кг","[(0, 5, 'B-TYPE'), (6, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME')]"
натур пломбир 410г мороженое,"[(0, 5, 'B-BRAND'), (6, 13, 'I-BRAND'), (14, 18, 'B-VOLUME'), (19, 28, 'B-TYPE')]"
родные просторы батон 300г,"[(0, 6, 'B-BRAND'), (7, 15, 'I-BRAND'), (16, 21, 'B-TYPE'), (22, 26, 'B-VOLUME')]"
сыр сваля 45% 400г,"[(0, 3, 'B-TYPE'), (4, 9, 'B-BRAND'), (10, 13, 'B-PERCENT'), (14, 18, 'B-VOLUME')]"
ряженка 4% судогодский молочный завод 400г,"[(0, 7, 'B-TYPE'), (8, 10, 'B-PERCENT'), (11, 22, 'B-BRAND'), (23, 31, 'I-BRAND'), (32, 37, 'I-BRAND'), (38, 42, 'B-VOLUME')]"
ряженка 500г 4%,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME'), (13, 15, 'B-PERCENT')]"
каша 40г мистраль,"[(0, 4, 'B-TYPE'), (5, 8, 'B-VOLUME'), (9, 17, 'B-BRAND')]"
блокнот 60л,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
био баланс 270г 1%,"[(0, 3, 'B-BRAND'), (4, 10, 'I-BRAND'), (11, 15, 'B-VOLUME'), (16, 18, 'B-PERCENT')]"
бисер 5 г toho,"[(0, 5, 'B-TYPE'), (6, 7, 'B-VOLUME'), (8, 9, 'I-VOLUME'), (10, 14, 'B-BRAND')]"
panasonic 1 шт батарейка,"[(0, 9, 'B-BRAND'), (10, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME'), (15, 24, 'B-TYPE')]"
сваля 5% творог 180г,"[(0, 5, 'B-BRAND'), (6, 8, 'B-PERCENT'), (9, 15, 'B-TYPE'), (16, 20, 'B-VOLUME')]"
uppetit паста 300 г,"[(0, 7, 'B-BRAND'), (8, 13, 'B-TYPE'), (14, 17, 'B-VOLUME'), (18, 19, 'I-VOLUME')]"
колбаса 350Г,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME')]"
бабушкино лукошко 100 г пюре,"[(0, 9, 'B-BRAND'), (10, 17, 'I-BRAND'), (18, 21, 'B-VOLUME'), (22, 23, 'I-VOLUME'), (24, 28, 'B-TYPE')]"
махеевъ 300Г джем,"[(0, 7, 'B-BRAND'), (8, 12, 'B-VOLUME'), (13, 17, 'B-TYPE')]"
уксус 9% 500г,"[(0, 5, 'B-TYPE'), (6, 8, 'B-PERCENT'), (9, 13, 'B-VOLUME')]"
кухмастер кетчуп 260г,"[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE'), (17, 21, 'B-VOLUME')]"
конфеты 1КГ тими,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME'), (12, 16, 'B-BRAND')]"
"пиво охота 8.1% 0,45л","[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND'), (11, 15, 'B-PERCENT'), (16, 21, 'B-VOLUME')]"
макароны макноф 900 г,"[(0, 8, 'B-TYPE'), (9, 15, 'B-BRAND'), (16, 19, 'B-VOLUME'), (20, 21, 'I-VOLUME')]"
"водка 0,25л 38% русская валюта","[(0, 5, 'B-TYPE'), (6, 11, 'B-VOLUME'), (12, 15, 'B-PERCENT'), (16, 23, 'B-BRAND'), (24, 30, 'I-BRAND')]"
navigator 3г удлинитель,"[(0, 9, 'B-BRAND'), (10, 12, 'B-VOLUME'), (13, 23, 'B-TYPE')]"
kupiec хлебцы 90г,"[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 17, 'B-VOLUME')]"
"виски ballantine's 0,7л 40%","[(0, 5, 'B-TYPE'), (6, 18, 'B-BRAND'), (19, 23, 'B-VOLUME'), (24, 27, 'B-PERCENT')]"
конфеты кдв 1кг,"[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND'), (12, 15, 'B-VOLUME')]"
бумага 4шт зева,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME'), (11, 15, 'B-BRAND')]"
"творог 0,1% простоквашино 130г","[(0, 6, 'B-TYPE'), (7, 11, 'B-PERCENT'), (12, 25, 'B-BRAND'), (26, 30, 'B-VOLUME')]"
yamalube 1 л масло,"[(0, 8, 'B-BRAND'), (9, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME'), (13, 18, 'B-TYPE')]"
gerber 130г,"[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME')]"
велком 500г колбаса,"[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME'), (12, 19, 'B-TYPE')]"
"parmalat 3,5% молоко 1л","[(0, 8, 'B-BRAND'), (9, 13, 'B-PERCENT'), (14, 20, 'B-TYPE'), (21, 23, 'B-VOLUME')]"
