query,markup
petmax бантик 2шт,"[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 17, 'B-VOLUME')]"
губка русалочка 3 шт,"[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND'), (16, 17, 'B-VOLUME'), (18, 20, 'I-VOLUME')]"
квас 2л очаковский,"[(0, 4, 'B-TYPE'), (5, 7, 'B-VOLUME'), (8, 18, 'B-BRAND')]"
наконечник ekf 50шт,"[(0, 10, 'B-TYPE'), (11, 14, 'B-BRAND'), (15, 19, 'B-VOLUME')]"
орион 6шт чокопай,"[(0, 5, 'B-BRAND'), (6, 9, 'B-VOLUME'), (10, 17, 'B-TYPE')]"
белла 10шт прокладки,"[(0, 5, 'B-BRAND'), (6, 10, 'B-VOLUME'), (11, 20, 'B-TYPE')]"
лаванда 50 г,"[(0, 7, 'B-TYPE'), (8, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME')]"
ма 1кг купаты,"[(0, 2, 'B-BRAND'), (3, 6, 'B-VOLUME'), (7, 13, 'B-TYPE')]"
"nestea 1,5л чай","[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME'), (12, 15, 'B-TYPE')]"
кефир коровка из кореновки 1%,"[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND'), (14, 16, 'I-BRAND'), (17, 26, 'I-BRAND'), (27, 29, 'B-PERCENT')]"
кефир коровка из кореновки 1 %,"[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND'), (14, 16, 'I-BRAND'), (17, 26, 'I-BRAND'), (27, 28, 'B-PERCENT'), (29, 30, 'I-PERCENT')]"
сок сады придонья 200мл,"[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 17, 'I-BRAND'), (18, 23, 'B-VOLUME')]"
торт наш кондитер 600г,"[(0, 4, 'B-TYPE'), (5, 8, 'B-BRAND'), (9, 17, 'I-BRAND'), (18, 22, 'B-VOLUME')]"
"пицца la trattoria 0,335г","[(0, 5, 'B-TYPE'), (6, 8, 'B-BRAND'), (9, 18, 'I-BRAND'), (19, 25, 'B-VOLUME')]"
порошок 3кг персил,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME'), (12, 18, 'B-BRAND')]"
шалбуз 5л вода,"[(0, 6, 'B-BRAND'), (7, 9, 'B-VOLUME'), (10, 14, 'B-TYPE')]"
"компот 0,5л","[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME')]"
"новотерская 0,5л вода","[(0, 11, 'B-BRAND'), (12, 16, 'B-VOLUME'), (17, 21, 'B-TYPE')]"
подгузники merries 14 кг,"[(0, 10, 'B-TYPE'), (11, 18, 'B-BRAND'), (19, 21, 'B-VOLUME'), (22, 24, 'I-VOLUME')]"
наклейки 5шт,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME')]"
капуста 1кг,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
бобс леденец 35 г,"[(0, 4, 'B-BRAND'), (5, 12, 'B-TYPE'), (13, 15, 'B-VOLUME'), (16, 17, 'I-VOLUME')]"
печенье 1кг,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
канатик 100%,"[(0, 7, 'B-TYPE'), (8, 12, 'B-PERCENT')]"
канатик 100 %,"[(0, 7, 'B-TYPE'), (8, 11, 'B-PERCENT'), (12, 13, 'I-PERCENT')]"
estel 60 мл краска,"[(0, 5, 'B-BRAND'), (6, 8, 'B-VOLUME'), (9, 11, 'I-VOLUME'), (12, 18, 'B-TYPE')]"
