sample;annotation
alphapet;[(0, 8, 'B-BRAND')]
am;[(0, 2, 'O')]
apica;[(0, 5, 'B-BRAND')]
arctic;[(0, 6, 'B-BRAND')]
arctik;[(0, 6, 'B-BRAND')]
aroy;[(0, 4, 'B-BRAND')]
art;[(0, 3, 'O')]
assamd;[(0, 6, 'B-TYPE')]
award например;[(0, 5, 'B-BRAND'), (6, 14, 'O')]
basard;[(0, 6, 'B-BRAND')]
batura;[(0, 6, 'B-BRAND')]
be;[(0, 2, 'O')]
bibo н;[(0, 4, 'B-BRAND'), (5, 6, 'B-TYPE')]
biff;[(0, 4, 'B-BRAND')]
big bon;[(0, 3, 'B-BRAND'), (4, 7, 'I-BRAND')]
blombar;[(0, 7, 'B-BRAND')]
blue;[(0, 4, 'B-BRAND')]
bogbon;[(0, 6, 'B-BRAND')]
boge;[(0, 4, 'O')]
bondue;[(0, 6, 'B-BRAND')]
brit;[(0, 4, 'B-BRAND')]
bru;[(0, 3, 'B-BRAND')]
bud;[(0, 3, 'B-BRAND')]
bunk club;[(0, 4, 'O'), (5, 9, 'O')]
burg;[(0, 4, 'B-BRAND')]
bush;[(0, 4, 'B-BRAND')]
bushi;[(0, 5, 'B-BRAND')]
bushido;[(0, 7, 'B-BRAND')]
butter;[(0, 6, 'B-BRAND')]
calfaon;[(0, 7, 'B-BRAND')]
calgo;[(0, 5, 'B-BRAND')]
calgon;[(0, 6, 'B-BRAND')]
cerkizov;[(0, 8, 'O')]
checo;[(0, 5, 'B-BRAND')]
cheess;[(0, 6, 'B-TYPE')]
chirton саше;[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE')]
chitos;[(0, 6, 'B-BRAND')]
cliven сам;[(0, 6, 'B-BRAND'), (7, 10, 'O')]
cof;[(0, 3, 'B-TYPE')]
cofess;[(0, 6, 'B-BRAND')]
coffe;[(0, 5, 'B-TYPE')]
coffeso;[(0, 7, 'B-BRAND')]
coffesso;[(0, 8, 'B-BRAND')]
coteelgan;[(0, 9, 'O')]
cotex;[(0, 5, 'B-BRAND')]
curran;[(0, 6, 'B-BRAND')]
cutris;[(0, 6, 'B-BRAND')]
cгущенка;[(0, 8, 'B-TYPE')]
cливки;[(0, 6, 'B-TYPE')]
cосиски;[(0, 7, 'B-TYPE')]
cыр;[(0, 3, 'B-TYPE')]
cырки;[(0, 5, 'B-TYPE')]
danke сов;[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE')]
danke совк;[(0, 5, 'B-BRAND'), (6, 10, 'B-TYPE')]
danke совки;[(0, 5, 'B-BRAND'), (6, 11, 'B-TYPE')]
defort перфорато;[(0, 6, 'B-BRAND'), (7, 16, 'B-TYPE')]
dido;[(0, 4, 'B-BRAND')]
difol;[(0, 5, 'B-BRAND')]
domestios;[(0, 9, 'B-BRAND')]
double you;[(0, 6, 'B-BRAND'), (7, 10, 'I-BRAND')]
drummies;[(0, 8, 'B-BRAND')]
durex;[(0, 5, 'B-BRAND')]
econta вилк;[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE')]
