sample;annotation
бажная салфека;[(0, 6, 'O'), (7, 14, 'O')]
бажная салфеа;[(0, 6, 'O'), (7, 13, 'O')]
бажная алфека;[(0, 6, 'O'), (7, 13, 'O')]
баная салфека;[(0, 5, 'O'), (6, 13, 'O')]
sneq;[(0, 4, 'B-BRAND')]
sneg;[(0, 4, 'B-BRAND')]
сн;[(0, 2, 'O')]
ша;[(0, 2, 'O')]
пррчий чай;[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]
прочий чай;[(0, 6, 'B-TYPE'), (7, 10, 'I-TYPE')]
петмол;[(0, 6, 'B-BRAND')]
пэтмол;[(0, 6, 'B-BRAND')]
сов;[(0, 3, 'O')]
омич;[(0, 4, 'B-BRAND')]
сыи;[(0, 3, 'B-TYPE')]
сок сады вишня;[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 14, 'O')]
nrmoloko;[(0, 8, 'B-TYPE')]
макароны макфа 16;[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND'), (15, 17, 'B-VOLUME')]
макароны макфа 10;[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND'), (15, 17, 'B-VOLUME')]
макфа 16;[(0, 5, 'B-BRAND'), (6, 8, 'B-VOLUME')]
мешки для мусора 120 л;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O'), (17, 20, 'B-VOLUME'), (21, 22, 'I-VOLUME')]
мешки для мусора 120 л;[(0, 5, 'B-TYPE'), (6, 9, 'O'), (10, 16, 'O'), (17, 20, 'B-VOLUME'), (21, 22, 'I-VOLUME')]
чай майский крупнолистовой;[(0, 3, 'B-TYPE'), (4, 11, 'B-BRAND'), (12, 26, 'I-TYPE')]
чай мйский крупнолистовой;[(0, 3, 'B-TYPE'), (4, 10, 'B-BRAND'), (11, 25, 'I-TYPE')]
спды придонья для детского;[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'O'), (18, 26, 'O')]
сады придонья для детского;[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'O'), (18, 26, 'O')]
сады приионья для детского;[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'O'), (18, 26, 'O')]
сады прыдонья для детского;[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'O'), (18, 26, 'O')]
