sample;true;false
то матная паста;[(0, 2, 'B-TYPE'), (3, 9, 'I-TYPE'), (10, 15, 'I-TYPE')];[(0, 2, 'O'), (3, 9, 'I-TYPE'), (10, 15, 'I-TYPE')]
сов;[(0, 3, 'O')];[(0, 3, 'B-TYPE')]
оп;[(0, 2, 'O')];[(0, 2, 'B-TYPE')]
сыи;[(0, 3, 'B-TYPE')];[(0, 3, 'O')]
рте;[(0, 3, 'O')];[(0, 3, 'B-TYPE')]
сок сады вишня;[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 14, 'O')];[(0, 3, 'B-TYPE'), (4, 8, 'B-BRAND'), (9, 14, 'I-BRAND')]
джениус подскажи;[(0, 7, 'B-BRAND'), (8, 16, 'O')];[(0, 7, 'B-TYPE'), (8, 16, 'O')]
fit kit;[(0, 3, 'B-BRAND'), (4, 7, 'I-BRAND')];[(0, 3, 'O'), (4, 7, 'I-BRAND')]
с корицей;[(0, 1, 'O'), (2, 9, 'O')];[(0, 1, 'B-TYPE'), (2, 9, 'O')]
селяно;[(0, 6, 'B-BRAND')];[(0, 6, 'B-TYPE')]
хмели сун;[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')];[(0, 5, 'B-TYPE'), (6, 9, 'B-BRAND')]
вода минер;[(0, 4, 'B-TYPE'), (5, 10, 'I-TYPE')];[(0, 4, 'B-TYPE'), (5, 10, 'B-BRAND')]
стекломой комфо;[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND')];[(0, 9, 'O'), (10, 15, 'B-BRAND')]
капуста свежий урожай;[(0, 7, 'B-TYPE'), (8, 14, 'O'), (15, 21, 'O')];[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE'), (15, 21, 'O')]
в томатном соусе рыьа;[(0, 1, 'O'), (2, 10, 'O'), (11, 16, 'O'), (17, 21, 'B-TYPE')];[(0, 1, 'O'), (2, 10, 'O'), (11, 16, 'I-TYPE'), (17, 21, 'O')]
магур;[(0, 5, 'B-TYPE')];[(0, 5, 'B-BRAND')]
