sample;annotation
бажная салфека;[(0, 6, 'O'), (7, 14, 'O')]
бажная салфеа;[(0, 6, 'O'), (7, 13, 'O')]
бажная алфека;[(0, 6, 'O'), (7, 13, 'O')]
баная салфека;[(0, 5, 'O'), (6, 13, 'O')]
sneq;[(0, 4, 'B-BRAND')]
sneg;[(0, 4, 'B-BRAND')]
сн;[(0, 2, 'O')]
ша;[(0, 2, 'O')]
спды придонья для детского;[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'O'), (18, 26, 'O')]
сады придонья для детского;[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'O'), (18, 26, 'O')]
сады приионья для детского;[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'O'), (18, 26, 'O')]
сады прыдонья для детского;[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'O'), (18, 26, 'O')]
хна fit;[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND')]
зна fit;[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND')]
зна fit;[(0, 3, 'B-TYPE'), (4, 7, 'B-BRAND')]
fr;[(0, 2, 'O')]
эго;[(0, 3, 'O')]
сыорк;[(0, 5, 'B-TYPE')]
сырок;[(0, 5, 'B-TYPE')]
сырко;[(0, 5, 'B-TYPE')]
срыок;[(0, 5, 'B-TYPE')]
котекс;[(0, 6, 'B-BRAND')]
чоко;[(0, 4, 'B-BRAND')]
чокко;[(0, 5, 'B-BRAND')]
ернчай;[(0, 6, 'O')]
кефир био;[(0, 5, 'B-TYPE'), (6, 9, 'I-TYPE')]
кефир биои;[(0, 5, 'B-TYPE'), (6, 10, 'I-TYPE')]
pia;[(0, 3, 'B-BRAND')]
лклэнд;[(0, 6, 'O')]
hein;[(0, 4, 'B-BRAND')]
heinz;[(0, 5, 'B-BRAND')]
einz;[(0, 4, 'B-BRAND')]
elit;[(0, 4, 'B-BRAND')]
энергит;[(0, 7, 'B-TYPE')]
экомил;[(0, 6, 'B-BRAND')]
экомл;[(0, 5, 'B-BRAND')]
экгмил;[(0, 6, 'B-BRAND')]
сахзам;[(0, 6, 'B-TYPE')]
свхзам;[(0, 6, 'B-TYPE')]
без пельмени;[(0, 3, 'O'), (4, 12, 'B-TYPE')]
без пельсени;[(0, 3, 'O'), (4, 12, 'B-TYPE')]
