query,markup
petmax 2шт бантик,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 17, 'B-TYPE')]"
губка русалочка 3 шт,"[(0, 5, 'B-TYPE'), (6, 15, 'B-BRAND'), (16, 17, 'B-VOLUME'), (18, 20, 'I-VOLUME')]"
очаковский 2л квас,"[(0, 10, 'B-BRAND'), (11, 13, 'B-VOLUME'), (14, 18, 'B-TYPE')]"
наконечник 50шт ekf,"[(0, 10, 'B-TYPE'), (11, 15, 'B-VOLUME'), (16, 19, 'B-BRAND')]"
орион чокопай 6шт,"[(0, 5, 'B-BRAND'), (6, 13, 'B-TYPE'), (14, 17, 'B-VOLUME')]"
прокладки белла 10шт,"[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND'), (16, 20, 'B-VOLUME')]"
лаванда 50 г,"[(0, 7, 'B-TYPE'), (8, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME')]"
купаты 1кг ма,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME'), (11, 13, 'B-BRAND')]"
"чай 1,5л nestea","[(0, 3, 'B-TYPE'), (4, 8, 'B-VOLUME'), (9, 15, 'B-BRAND')]"
кефир 1% коровка из кореновки,"[(0, 5, 'B-TYPE'), (6, 8, 'B-PERCENT'), (9, 16, 'B-BRAND'), (17, 19, 'I-BRAND'), (20, 29, 'I-BRAND')]"
сады придонья сок 200мл,"[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'B-TYPE'), (18, 23, 'B-VOLUME')]"
торт 600г наш кондитер,"[(0, 4, 'B-TYPE'), (5, 9, 'B-VOLUME'), (10, 13, 'B-BRAND'), (14, 22, 'I-BRAND')]"
"пицца la trattoria 0,335г","[(0, 5, 'B-TYPE'), (6, 8, 'B-BRAND'), (9, 18, 'I-BRAND'), (19, 25, 'B-VOLUME')]"
персил 3кг порошок,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 18, 'B-TYPE')]"
шалбуз вода 5л,"[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE'), (12, 14, 'B-VOLUME')]"
"компот 0,5л","[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME')]"
"вода новотерская 0,5л","[(0, 4, 'B-TYPE'), (5, 16, 'B-BRAND'), (17, 21, 'B-VOLUME')]"
merries подгузники 14 кг,"[(0, 7, 'B-BRAND'), (8, 18, 'B-TYPE'), (19, 21, 'B-VOLUME'), (22, 24, 'I-VOLUME')]"
наклейки 5шт,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME')]"
1кг капуста,"[(0, 3, 'B-VOLUME'), (4, 11, 'B-TYPE')]"
бобс 35 г леденец,"[(0, 4, 'B-BRAND'), (5, 7, 'B-VOLUME'), (8, 9, 'I-VOLUME'), (10, 17, 'B-TYPE')]"
печенье 1кг,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
100% канатик,"[(0, 4, 'B-PERCENT'), (5, 12, 'B-TYPE')]"
estel краска 60 мл,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE'), (13, 15, 'B-VOLUME'), (16, 18, 'I-VOLUME')]"
горчица махеевъ 100 г,"[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND'), (16, 19, 'B-VOLUME'), (20, 21, 'I-VOLUME')]"
"рулет 0,202 кг","[(0, 5, 'B-TYPE'), (6, 11, 'B-VOLUME'), (12, 14, 'I-VOLUME')]"
мороженое натур пломбир 410г,"[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND'), (16, 23, 'I-BRAND'), (24, 28, 'B-VOLUME')]"
батон 300г родные просторы,"[(0, 5, 'B-TYPE'), (6, 10, 'B-VOLUME'), (11, 17, 'B-BRAND'), (18, 26, 'I-BRAND')]"
сваля сыр 45% 400г,"[(0, 5, 'B-BRAND'), (6, 9, 'B-TYPE'), (10, 13, 'B-PERCENT'), (14, 18, 'B-VOLUME')]"
ряженка 4% 400г судогодский молочный завод,"[(0, 7, 'B-TYPE'), (8, 10, 'B-PERCENT'), (11, 15, 'B-VOLUME'), (16, 27, 'B-BRAND'), (28, 36, 'I-BRAND'), (37, 42, 'I-BRAND')]"
ряженка 4% 500г,"[(0, 7, 'B-TYPE'), (8, 10, 'B-PERCENT'), (11, 15, 'B-VOLUME')]"
каша мистраль 40г,"[(0, 4, 'B-TYPE'), (5, 13, 'B-BRAND'), (14, 17, 'B-VOLUME')]"
блокнот 60л,"[(0, 7, 'B-TYPE'), (8, 11, 'B-VOLUME')]"
1% био баланс 270г,"[(0, 2, 'B-PERCENT'), (3, 6, 'B-BRAND'), (7, 13, 'I-BRAND'), (14, 18, 'B-VOLUME')]"
toho 5 г бисер,"[(0, 4, 'B-BRAND'), (5, 6, 'B-VOLUME'), (7, 8, 'I-VOLUME'), (9, 14, 'B-TYPE')]"
panasonic батарейка 1 шт,"[(0, 9, 'B-BRAND'), (10, 19, 'B-TYPE'), (20, 21, 'B-VOLUME'), (22, 24, 'I-VOLUME')]"
творог 180г 5% сваля,"[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME'), (12, 14, 'B-PERCENT'), (15, 20, 'B-BRAND')]"
паста 300 г uppetit,"[(0, 5, 'B-TYPE'), (6, 9, 'B-VOLUME'), (10, 11, 'I-VOLUME'), (12, 19, 'B-BRAND')]"
колбаса 350Г,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME')]"
бабушкино лукошко пюре 100 г,"[(0, 9, 'B-BRAND'), (10, 17, 'I-BRAND'), (18, 22, 'B-TYPE'), (23, 26, 'B-VOLUME'), (27, 28, 'I-VOLUME')]"
махеевъ джем 300Г,"[(0, 7, 'B-BRAND'), (8, 12, 'B-TYPE'), (13, 17, 'B-VOLUME')]"
уксус 9% 500г,"[(0, 5, 'B-TYPE'), (6, 8, 'B-PERCENT'), (9, 13, 'B-VOLUME')]"
кухмастер 260г кетчуп,"[(0, 9, 'B-BRAND'), (10, 14, 'B-VOLUME'), (15, 21, 'B-TYPE')]"
тими 1КГ конфеты,"[(0, 4, 'B-BRAND'), (5, 8, 'B-VOLUME'), (9, 16, 'B-TYPE')]"
"пиво 0,45л охота 8.1%","[(0, 4, 'B-TYPE'), (5, 10, 'B-VOLUME'), (11, 16, 'B-BRAND'), (17, 21, 'B-PERCENT')]"
макноф 900 г макароны,"[(0, 6, 'B-BRAND'), (7, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME'), (13, 21, 'B-TYPE')]"
"водка русская валюта 0,25л 38%","[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND'), (14, 20, 'I-BRAND'), (21, 26, 'B-VOLUME'), (27, 30, 'B-PERCENT')]"
удлинитель navigator 3г,"[(0, 10, 'B-TYPE'), (11, 20, 'B-BRAND'), (21, 23, 'B-VOLUME')]"
хлебцы kupiec 90г,"[(0, 6, 'B-TYPE'), (7, 13, 'B-BRAND'), (14, 17, 'B-VOLUME')]"
"ballantine's 40% виски 0,7л","[(0, 12, 'B-BRAND'), (13, 16, 'B-PERCENT'), (17, 22, 'B-TYPE'), (23, 27, 'B-VOLUME')]"
конфеты кдв 1кг,"[(0, 7, 'B-TYPE'), (8, 11, 'B-BRAND'), (12, 15, 'B-VOLUME')]"
бумага зева 4шт,"[(0, 6, 'B-TYPE'), (7, 11, 'B-BRAND'), (12, 15, 'B-VOLUME')]"
"творог 0,1% простоквашино 130г","[(0, 6, 'B-TYPE'), (7, 11, 'B-PERCENT'), (12, 25, 'B-BRAND'), (26, 30, 'B-VOLUME')]"
масло yamalube 1 л,"[(0, 5, 'B-TYPE'), (6, 14, 'B-BRAND'), (15, 16, 'B-VOLUME'), (17, 18, 'I-VOLUME')]"
gerber 130г,"[(0, 6, 'B-BRAND'), (7, 11, 'B-VOLUME')]"
колбаса 500г велком,"[(0, 7, 'B-TYPE'), (8, 12, 'B-VOLUME'), (13, 19, 'B-BRAND')]"
"parmalat 1л молоко 3,5%","[(0, 8, 'B-BRAND'), (9, 11, 'B-VOLUME'), (12, 18, 'B-TYPE'), (19, 23, 'B-PERCENT')]"
корм whiskas 85г,"[(0, 4, 'B-TYPE'), (5, 12, 'B-BRAND'), (13, 16, 'B-VOLUME')]"
пряник 1шт,"[(0, 6, 'B-TYPE'), (7, 10, 'B-VOLUME')]"
alpen gold 85г,"[(0, 5, 'B-BRAND'), (6, 10, 'I-BRAND'), (11, 14, 'B-VOLUME')]"
