query,markup
petmax бантик 2шт,"[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE'), (14, 17, 'B-VOLUME')]"
русалочка губка 3 шт,"[(0, 9, 'B-BRAND'), (10, 15, 'B-TYPE'), (16, 17, 'B-VOLUME'), (18, 20, 'I-VOLUME')]"
очаковский квас 2л,"[(0, 10, 'B-BRAND'), (11, 15, 'B-TYPE'), (16, 18, 'B-VOLUME')]"
ekf наконечник 50шт,"[(0, 3, 'B-BRAND'), (4, 14, 'B-TYPE'), (15, 19, 'B-VOLUME')]"
орион товара нет 6шт,"[(0, 5, 'B-BRAND'), (6, 12, 'B-TYPE'), (13, 16, 'I-TYPE'), (17, 20, 'B-VOLUME')]"
белла прокладки 10шт,"[(0, 5, 'B-BRAND'), (6, 15, 'B-TYPE'), (16, 20, 'B-VOLUME')]"
лаванда 50 г,"[(0, 7, 'B-TYPE'), (8, 10, 'B-VOLUME'), (11, 12, 'I-VOLUME')]"
ма купаты 1кг,"[(0, 2, 'B-BRAND'), (3, 9, 'B-TYPE'), (10, 13, 'B-VOLUME')]"
"nestea чай 1,5л","[(0, 6, 'B-BRAND'), (7, 10, 'B-TYPE'), (11, 15, 'B-VOLUME')]"
коровка из кореновки кефир 1%,"[(0, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 20, 'I-BRAND'), (21, 26, 'B-TYPE'), (27, 29, 'B-PERCENT')]"
коровка из кореновки кефир 1 %,"[(0, 7, 'B-BRAND'), (8, 10, 'I-BRAND'), (11, 20, 'I-BRAND'), (21, 26, 'B-TYPE'), (27, 28, 'B-PERCENT'), (29, 30, 'I-PERCENT')]"
сады придонья сок 200мл,"[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 17, 'B-TYPE'), (18, 23, 'B-VOLUME')]"
наш кондитер торт 600г,"[(0, 3, 'B-BRAND'), (4, 12, 'I-BRAND'), (13, 17, 'B-TYPE'), (18, 22, 'B-VOLUME')]"
"la trattoria пицца 0,335г","[(0, 2, 'B-BRAND'), (3, 12, 'I-BRAND'), (13, 18, 'B-TYPE'), (19, 25, 'B-VOLUME')]"
персил порошок 3кг,"[(0, 6, 'B-BRAND'), (7, 14, 'B-TYPE'), (15, 18, 'B-VOLUME')]"
шалбуз вода 5л,"[(0, 6, 'B-BRAND'), (7, 11, 'B-TYPE'), (12, 14, 'B-VOLUME')]"
"компот 0,5л","[(0, 6, 'B-TYPE'), (7, 11, 'B-VOLUME')]"
"новотерская вода 0,5л","[(0, 11, 'B-BRAND'), (12, 16, 'B-TYPE'), (17, 21, 'B-VOLUME')]"
merries подгузники 14 кг,"[(0, 7, 'B-BRAND'), (8, 18, 'B-TYPE'), (19, 21, 'B-VOLUME'), (22, 24, 'I-VOLUME')]"
наклейки 5шт,"[(0, 8, 'B-TYPE'), (9, 12, 'B-VOLUME')]"
