имперская	[(0, 9, 'B-BRAND')]
коница	[(0, 6, 'B-TYPE')]
котмаркот оладьи	[(0, 9, 'B-BRAND'), (10, 16, 'B-TYPE')]
краб палочки	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE')]
труфель	[(0, 7, 'B-TYPE')]
творожок детский	[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
жвач4а	[(0, 6, 'B-TYPE')]
спички нф	[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]
сыроу	[(0, 5, 'B-TYPE')]
петрушка укроп	[(0, 8, 'B-TYPE'), (9, 14, 'I-TYPE')]
varta батарейк	[(0, 5, 'B-BRAND'), (6, 14, 'B-TYPE')]
корм влажный феликс	[(0, 4, 'B-TYPE'), (5, 12, 'I-TYPE'), (13, 19, 'B-BRAND')]
калачик петрохлеб	[(0, 7, 'B-TYPE'), (8, 17, 'B-BRAND')]
наполнииель для туалета	[(0, 11, 'B-TYPE'), (12, 15, 'O'), (16, 23, 'O')]
таблеки	[(0, 7, 'B-TYPE')]
прочая охлажденн	[(0, 6, 'B-TYPE'), (7, 16, 'I-TYPE')]
хлопья.	[(0, 7, 'B-TYPE')]
чай диабетический	[(0, 3, 'B-TYPE'), (4, 17, 'I-TYPE')]
лечо8	[(0, 5, 'B-TYPE')]
салфеки	[(0, 7, 'B-TYPE')]
гооошек	[(0, 7, 'B-TYPE')]
сады придонья прям	[(0, 4, 'B-BRAND'), (5, 13, 'I-BRAND'), (14, 18, 'O')]
цельнозерновая	[(0, 14, 'B-TYPE')]
сардна	[(0, 6, 'B-TYPE')]
салатница guzzi	[(0, 9, 'B-TYPE'), (10, 15, 'B-BRAND')]
каши молочные	[(0, 4, 'B-TYPE'), (5, 13, 'I-TYPE')]
рыбка сушёная	[(0, 5, 'B-TYPE'), (6, 13, 'I-TYPE')]
котлетф	[(0, 7, 'B-TYPE')]
детское питани	[(0, 7, 'B-TYPE'), (8, 14, 'I-TYPE')]
сметина	[(0, 7, 'B-TYPE')]
стаканы, рюм	[(0, 8, 'B-TYPE'), (9, 12, 'I-TYPE')]
средство для чистки	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 19, 'O')]
wee drem	[(0, 3, 'O'), (4, 8, 'O')]
свинрна	[(0, 7, 'B-TYPE')]
сыр эдам	[(0, 3, 'B-TYPE'), (4, 8, 'I-TYPE')]
лук реа	[(0, 3, 'B-TYPE'), (4, 7, 'I-TYPE')]
фиш	[(0, 3, 'B-TYPE')]
ссетан	[(0, 6, 'B-TYPE')]
нкиг	[(0, 4, 'B-TYPE')]
творожки детские	[(0, 8, 'B-TYPE'), (9, 16, 'I-TYPE')]
лежаки, доми	[(0, 7, 'B-TYPE'), (8, 12, 'I-TYPE')]
рис краснодарский	[(0, 3, 'B-TYPE'), (4, 17, 'I-TYPE')]
обложек	[(0, 7, 'B-TYPE')]
sif	[(0, 3, 'B-BRAND')]
средствт для мы	[(0, 8, 'B-TYPE'), (9, 12, 'O'), (13, 15, 'O')]
виногрвд	[(0, 8, 'B-TYPE')]
хлпб	[(0, 4, 'B-TYPE')]
проклад	[(0, 7, 'B-TYPE')]
сардельки меньшиков	[(0, 9, 'B-TYPE'), (10, 19, 'B-BRAND')]
энергетичесеий	[(0, 14, 'B-TYPE')]
бумаг каляка-маля	[(0, 5, 'B-TYPE'), (6, 17, 'B-BRAND')]
свинин	[(0, 6, 'B-TYPE')]
сыр пла	[(0, 3, 'B-TYPE'), (4, 7, 'I-TYPE')]
карандаши ум	[(0, 9, 'B-TYPE'), (10, 12, 'B-BRAND')]
плмидорки	[(0, 9, 'B-TYPE')]
бифидок	[(0, 7, 'B-BRAND')]
яичница	[(0, 7, 'B-TYPE')]
черничная	[(0, 9, 'B-TYPE')]
сдобы серпуховхлеб	[(0, 5, 'B-TYPE'), (6, 18, 'B-BRAND')]
русская	[(0, 7, 'B-BRAND')]
ладога вермут	[(0, 6, 'B-BRAND'), (7, 13, 'B-TYPE')]
макороны	[(0, 8, 'B-TYPE')]
лент	[(0, 4, 'B-TYPE')]
сгоны multido	[(0, 5, 'B-TYPE'), (6, 13, 'B-BRAND')]
чесно	[(0, 5, 'B-TYPE')]
исыр	[(0, 4, 'B-TYPE')]
pantime	[(0, 7, 'B-BRAND')]
жевательный	[(0, 11, 'B-TYPE')]
завьоак	[(0, 7, 'B-TYPE')]
желе ростагроэкспо	[(0, 4, 'B-TYPE'), (5, 18, 'B-BRAND')]
моллкл	[(0, 6, 'B-TYPE')]
три перца	[(0, 3, 'B-TYPE'), (4, 9, 'I-TYPE')]
сверлильные станк	[(0, 11, 'B-TYPE'), (12, 17, 'I-TYPE')]
бублик	[(0, 6, 'B-TYPE')]
подушечки hrut	[(0, 9, 'B-TYPE'), (10, 14, 'B-BRAND')]
сыр российский имп	[(0, 3, 'B-TYPE'), (4, 14, 'B-BRAND'), (15, 18, 'I-BRAND')]
вкцс и польза	[(0, 4, 'B-BRAND'), (5, 6, 'I-BRAND'), (7, 13, 'I-BRAND')]
ликеры	[(0, 6, 'B-TYPE')]
meller	[(0, 6, 'B-BRAND')]
сметано	[(0, 7, 'B-TYPE')]
софетки	[(0, 7, 'B-TYPE')]
сливочн	[(0, 7, 'B-TYPE')]
йогупт	[(0, 6, 'B-TYPE')]
погремушек сим	[(0, 10, 'B-TYPE'), (11, 14, 'B-BRAND')]
соленые белоруч	[(0, 7, 'B-TYPE'), (8, 15, 'B-BRAND')]
твороог	[(0, 7, 'B-TYPE')]
грепфруты	[(0, 9, 'B-TYPE')]
новогодние подарки	[(0, 10, 'B-TYPE'), (11, 18, 'I-TYPE')]
замороженная рыба	[(0, 12, 'B-TYPE'), (13, 17, 'I-TYPE')]
горошекю	[(0, 8, 'B-TYPE')]
удлинитель jazzw	[(0, 10, 'B-TYPE'), (11, 16, 'B-BRAND')]
vivo	[(0, 4, 'B-BRAND')]
заточные стан	[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]
carat еще	[(0, 5, 'B-BRAND'), (6, 9, 'O')]
сгушкнка	[(0, 8, 'B-TYPE')]
булйон	[(0, 6, 'B-TYPE')]
морси	[(0, 5, 'B-TYPE')]
петршка	[(0, 7, 'B-TYPE')]
прокладки libres	[(0, 9, 'B-TYPE'), (10, 16, 'B-BRAND')]
гречкав	[(0, 7, 'B-TYPE')]
ватные	[(0, 6, 'B-TYPE')]
шпрооты	[(0, 7, 'B-TYPE')]
заливная	[(0, 8, 'B-TYPE')]
соки global village	[(0, 4, 'B-TYPE'), (5, 11, 'B-BRAND'), (12, 19, 'I-BRAND')]
песенье	[(0, 7, 'B-TYPE')]
celesta пергамент	[(0, 7, 'B-BRAND'), (8, 17, 'B-TYPE')]
миски hunt	[(0, 5, 'B-TYPE'), (6, 10, 'B-BRAND')]
поводок trio	[(0, 7, 'B-TYPE'), (8, 12, 'B-BRAND')]
аинегрет	[(0, 8, 'B-TYPE')]
кабачки черкаш	[(0, 7, 'B-TYPE'), (8, 14, 'B-BRAND')]
петрушки хо	[(0, 8, 'B-TYPE'), (9, 11, 'B-BRAND')]
коркунов	[(0, 8, 'B-BRAND')]
яблоки свежие	[(0, 6, 'B-TYPE'), (7, 13, 'I-TYPE')]
галеты здрав	[(0, 6, 'B-TYPE'), (7, 12, 'B-BRAND')]
пакеты для заморозок	[(0, 6, 'B-TYPE'), (7, 10, 'O'), (11, 20, 'O')]
ливерн	[(0, 6, 'B-TYPE')]
марселадки	[(0, 10, 'B-TYPE')]
перловая каша	[(0, 8, 'B-TYPE'), (9, 13, 'I-TYPE')]
cif	[(0, 3, 'B-BRAND')]
сываротка	[(0, 9, 'B-TYPE')]
экскимо	[(0, 7, 'B-TYPE')]
млхито	[(0, 6, 'B-TYPE')]
кармаели	[(0, 8, 'B-TYPE')]
стикер br	[(0, 6, 'B-TYPE'), (7, 9, 'B-BRAND')]
колбаски окраи	[(0, 8, 'B-TYPE'), (9, 14, 'B-BRAND')]
яичо	[(0, 4, 'B-TYPE')]
трусики мерис	[(0, 7, 'B-TYPE'), (8, 13, 'B-BRAND')]
